alvo,janela_h,k_h,unidade_k,horizonte,,n_treino,n_validacao,n_teste,,unidades_lstm,dropout,taxa_aprendizado,epocas,,rmse,mae,r2
TempHoraria,72,1,horas,1 horas a frente,,101099,21678,21680,,64,0.2,0.001,3,,0.811268518,0.613370712,0.961593407
TempHoraria,72,6,horas,6 horas a frente,,101094,21673,21675,,64,0.2,0.001,5,,1.081213567,0.776843973,0.931793417
TempHoraria,96,12,horas,12 horas a frente,,101064,21667,21669,,64,0.2,0.001,5,,1.340801535,0.968924662,0.89513912
TempHoraria,96,18,horas,18 horas a frente,,101058,21661,21663,,64,0.2,0.001,5,,1.514351043,1.092550813,0.866268441
TempHoraria,24,24,horas,24 horas a frente,,101124,21655,21657,,64,0.2,0.001,5,,1.716229618,1.239777837,0.82820041
,,,,,,,,,,,,,,,,,
TempMaximaDiaria,168,1,dias,1 dias a frente,,100539,21663,21656,,64,0.2,0.001,4,,2.522742258,1.952541277,0.601565694
TempMaximaDiaria,24,2,dias,2 dias a frente,,100659,21639,21632,,64,0.2,0.001,3,,3.098472448,2.509340872,0.398467566
TempMaximaDiaria,168,3,dias,3 dias a frente,,100491,21615,21608,,64,0.2,0.001,4,,3.314179481,2.711138228,0.311059798
TempMaximaDiaria,168,4,dias,4 dias a frente,,100467,21591,21584,,64,0.2,0.001,4,,3.435401491,2.815225178,0.258083143
TempMaximaDiaria,24,5,dias,5 dias a frente,,100587,21567,21560,,64,0.2,0.001,4,,3.532473138,2.896609806,0.213691042
TempMaximaDiaria,168,6,dias,6 dias a frente,,100419,21543,21536,,64,0.2,0.001,3,,3.513306947,2.899727633,0.221329444
TempMaximaDiaria,48,7,dias,7 dias a frente,,100515,21519,21512,,64,0.2,0.001,5,,3.581216298,2.96201213,0.191301839
TempMediaDiaria,24,1,dias,1 dias a frente,,100683,21663,21656,,64,0.2,0.001,5,,1.332287359,1.019728577,0.806602202
TempMediaDiaria,72,2,dias,2 dias a frente,,100611,21639,21632,,64,0.2,0.001,3,,1.778036145,1.411267741,0.65533523
TempMediaDiaria,96,3,dias,3 dias a frente,,100563,21615,21608,,64,0.2,0.001,3,,1.998227527,1.598785616,0.563843594
TempMediaDiaria,48,4,dias,4 dias a frente,,100587,21591,21584,,64,0.2,0.001,5,,2.119286546,1.69288755,0.507969257
TempMediaDiaria,72,5,dias,5 dias a frente,,100539,21567,21560,,64,0.2,0.001,4,,2.171774927,1.752593615,0.482016925
TempMediaDiaria,24,6,dias,6 dias a frente,,100563,21543,21536,,64,0.2,0.001,5,,2.193331506,1.771412816,0.470818578
TempMediaDiaria,168,7,dias,7 dias a frente,,100395,21519,21512,,64,0.2,0.001,3,,2.181519557,1.765956963,0.476508402
TempMinimaDiaria,48,1,dias,1 dias a frente,,100659,21663,21656,,64,0.2,0.001,5,,1.017397304,0.79584998,0.875192858
TempMinimaDiaria,96,2,dias,2 dias a frente,,100587,21639,21632,,64,0.2,0.001,4,,1.283122312,0.991432583,0.801589407
TempMinimaDiaria,72,3,dias,3 dias a frente,,100587,21615,21608,,64,0.2,0.001,4,,1.526948141,1.179979392,0.718700749
TempMinimaDiaria,96,4,dias,4 dias a frente,,100539,21591,21584,,64,0.2,0.001,4,,1.66563097,1.288240604,0.66486326
TempMinimaDiaria,168,5,dias,5 dias a frente,,100443,21567,21560,,64,0.2,0.001,4,,1.733441627,1.335142238,0.636368381
TempMinimaDiaria,168,6,dias,6 dias a frente,,100419,21543,21536,,64,0.2,0.001,4,,1.741632621,1.345254895,0.632179464
TempMinimaDiaria,96,7,dias,7 dias a frente,,100467,21519,21512,,64,0.2,0.001,3,,1.778829258,1.391229743,0.61567348
